step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_total
16384,2.0,0.3018274025455894,0.1480560966959302,-0.013732916486333124,-0.9177907732108679,-0.072095509792927,-0.46105008052468877,-0.35089091407364864,-0.0018737059232483606,-0.0464839322369871,-0.17315744472580277,-0.39653013836768,-0.003989938062017627,-7.3093251296236924e-09,-0.03759158923398379,0.0,0.09375,0.27326716368347104,0.1878341056033816,-0.008837515338077601,-0.1585709024696553,-0.051035749677103184,0.0,0.7998290437052002
32768,2.0,0.23893083816957564,0.1469701145433881,-0.011726080399967032,-0.8542605645402546,-0.07793298672436721,-0.40341615448605816,-0.34769285984237364,-0.0015757568305602022,-0.046986990898803614,-0.17466696908522852,-0.40288578928238633,-0.004123425638840611,0.0,-0.03771853788018191,0.0,0.1021728515625,0.2766902213766056,0.19185196223699072,-0.008245707042434342,-0.15654092184686683,-0.05146998665339195,0.0,0.7469434786202462
49152,2.0,0.42420669365038133,0.1563313183113437,-0.012290045502595603,-0.7030491715658798,-0.07567670619861389,-0.4380111120764072,-0.3682152408649743,-0.0016705887064605847,-0.046451292120917184,-0.17138063801467063,-0.3945437821001724,-0.005427736877328085,-1.9364777459232888e-07,-0.03746033891508829,-0.00811268211695171,0.09619140625,0.2646943222057421,0.18899222582235883,-0.008962608129561808,-0.16632654534024216,-0.05010900230816337,0.0,0.9917465576327664
65536,2.0,0.3741380983297424,0.14676839166771266,-0.008276373040644103,-0.7618279130068117,-0.07867786257950904,-0.3859916697744894,-0.3329052424270685,-0.001620210376664018,-0.046468404491066984,-0.1734220017417103,-0.3930823919812991,-0.005211681538648675,0.0,-0.037621823047981943,0.0,0.09619140625,0.2745517538597672,0.1911463894523385,-0.008007166334619798,-0.1617329740645365,-0.050885553941625396,0.0,0.9864728103336824
81920,2.0,0.3302843145160982,0.15677531949129064,-0.007148444210542948,-0.7321385254198276,-0.0783177542250173,-0.4605902228420607,-0.3333481394162305,-0.0018364578843133375,-0.046653273030612535,-0.17563861701783004,-0.39563144467621447,-0.004225306715839808,0.0,-0.03727339957171412,0.0,0.0972900390625,0.272387375737217,0.18507836206477804,-0.008448761038081159,-0.16067754437083212,-0.051843305545335186,0.0,0.9109543442978236
98304,2.0,0.2970465530598434,0.13714379647870795,-0.012883306611911394,-0.8858092909073036,-0.08004380927212451,-0.3781888324253604,-0.3547154469291733,-0.0013911823581249996,-0.04675956491112077,-0.1751381791567833,-0.40083599239940465,-0.005109153569704721,0.0,-0.03769692440059419,0.0,0.0997314453125,0.27287807777047096,0.18913805520069962,-0.008695617673621652,-0.157644468094921,-0.05141573720466104,0.0,0.8001599149619562
114688,2.0,0.4230536395596334,0.13752082152585365,-0.008825690183584811,-0.6827035153027117,-0.07172572388149057,-0.40444785715803877,-0.34618241987112863,-0.0015731099805178965,-0.046841777629816846,-0.1722760971359093,-0.3920686447085185,-0.00659245617880835,-1.028049697474382e-10,-0.037420559607082765,0.0,0.1046142578125,0.2735620935698982,0.18487835206693784,-0.008527223055888591,-0.16322305374606735,-0.05035139724757759,0.0,1.0279413712397838
131072,2.0,0.38137226887939024,0.13423278780782075,-0.009880377338049584,-0.7208303532082709,-0.07606926715246765,-0.32705253938239415,-0.3594062136178766,-0.0012982934531977407,-0.04721604303602315,-0.1775535096370732,-0.41019375998669755,-0.0049630392974967606,-3.756841046616691e-09,-0.03822921498181366,0.0,0.0994873046875,0.27386706885839435,0.1869894962196062,-0.008861287680247638,-0.15563493441698625,-0.05225391642568877,0.0,0.9531448031352311
147456,2.0,0.375595847839762,0.13979640990189438,-0.012971197780643706,-0.6555004453557913,-0.0769980451361274,-0.37882343816701325,-0.3489307174591417,-0.0014506279073198014,-0.04675729837903482,-0.17507619903772162,-0.4021332803884977,-0.004701873231227431,-2.7027117628919984e-09,-0.037684211632049776,-0.015605781570985118,0.0989990234375,0.27263478079044184,0.18863039282497315,-0.008356521944020444,-0.1572639100668602,-0.05147364707721863,0.0,0.9584754977566139
163840,2.0,0.3731662924945429,0.14601665804818295,-0.008767096571318689,-0.6990267590957231,-0.07449200577318393,-0.3854634175055616,-0.3392272395908497,-0.001538066493196888,-0.046955748215778505,-0.17465763893415,-0.403601124798171,-0.005330706516218303,0.0,-0.03792189691003807,0.0,0.09716796875,0.27405458891538664,0.18930659028058353,-0.008860345781124608,-0.16722052881287558,-0.05114778364499214,0.0,0.9523112669591963
180224,2.0,0.31520096561155914,0.1393447872202096,-0.009697272240373422,-0.8057401519317864,-0.07460452371479764,-0.35386629052951385,-0.3333033854035785,-0.001391844520337525,-0.04679324579320804,-0.1744882287341173,-0.40164855510192843,-0.006010892425092894,-7.918895019564793e-08,-0.0377601461480842,0.0,0.1036376953125,0.2774596046773683,0.18681283457740794,-0.009181001715941377,-0.15297499900875805,-0.051230189401831064,0.0,0.8861817983121768
196608,2.0,0.45793292568570554,0.14520059037225486,-0.00972656898375135,-0.6069145175585646,-0.07252977299778429,-0.3786210786077193,-0.3258260382706929,-0.0014152902056942173,-0.04650687567325376,-0.1738203631961365,-0.39684367039339485,-0.004143496581175298,-2.142338871110897e-07,-0.037256170573523116,0.0,0.10205078125,0.27385666153097094,0.18101762163270887,-0.009212563465492351,-0.15546702096477377,-0.05127350005423071,0.0,1.117164232943612
212992,2.0,0.26231505313965126,0.13059116936504667,-0.011140143409647862,-0.8567518606243549,-0.07298645634084222,-0.37332385693874903,-0.32001832445501266,-0.0013182328833455006,-0.04624061158276177,-0.17379663116444158,-0.3980477042167541,-0.004218558773684276,-4.38011895089144e-07,-0.03697290679556048,0.0,0.102783203125,0.2771525984730358,0.18108617640891295,-0.007968481919921583,-0.15605591605768857,-0.050989412894559646,0.0,0.7910466489197848
229376,2.0,0.4519930189925954,0.12982647492481958,-0.012106939613659051,-0.6848869291243718,-0.07479542671122086,-0.361376689531554,-0.32375377950555434,-0.0012543686218967265,-0.0464187851340774,-0.17406105453192153,-0.39461328939884244,-0.004909794541488111,-8.441373576901469e-07,-0.037109112831174594,0.0,0.099609375,0.26548186474853985,0.18182666854589621,-0.009269762082053701,-0.15788365603098609,-0.05115576846961621,0.0,1.0634326146665078
245760,2.0,0.3600010458043218,0.15097322621871173,-0.00911865856141958,-0.7528976165564139,-0.07149897018127316,-0.36921388348414413,-0.32855383774975966,-0.0013757276098114246,-0.04667846367417768,-0.17962965250044366,-0.39933125100270117,-0.004306745483211874,-5.086117181204455e-08,-0.037236469075035604,0.0,0.0977783203125,0.273798454537393,0.17954972918108653,-0.008734032729934019,-0.15148308810190042,-0.053304154150246176,0.0,0.9781053457242893
262144,2.0,0.4652305746740538,0.13206457646619346,-0.008415533735387726,-0.5557191530938499,-0.07610252917740468,-0.39777647702823143,-0.3228901819458632,-0.0014227428083929945,-0.04663746074051331,-0.17820201555150594,-0.4002035888106758,-0.004718553723685789,-4.540745853736777e-11,-0.03713897822769307,0.0,0.09619140625,0.2740142163625799,0.1834240995140258,-0.008932619734721063,-0.16016090204380437,-0.053010462473466725,0.0,1.1137530626415313
278528,2.0,0.4438927337870299,0.1382842600547564,-0.01350586586704594,-0.6997836044830343,-0.07175751384827578,-0.3171833446614706,-0.32480532155872877,-0.0010555394167141912,-0.046281011747565964,-0.17590098664804835,-0.4044899101319561,-0.004381261728024096,0.0,-0.037022745941355406,0.0,0.0989990234375,0.2772479154479855,0.18538800995654345,-0.010477759983194931,-0.15237673809411334,-0.05205845432734354,0.0,1.0840888322284248
294912,2.0,0.3921342878397955,0.1276247091765733,-0.009895026394588058,-0.707371097053727,-0.07269206062223921,-0.36952173696247076,-0.31413680877146327,-0.0011966927842387012,-0.046576551621861986,-0.17819495001313052,-0.4025321369311834,-0.003997615238283526,-2.041617756290059e-09,-0.03737051276279695,0.0,0.1024169921875,0.2769576957716948,0.18035652234613678,-0.009609540653439276,-0.15583140417718075,-0.05272250096706561,0.0,1.0106194375654467
