step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_total
40960,0.19999999999999282,0.7338217578671442,0.2863560743400936,-0.012031258986098692,-1.451820468550693,-0.32339644537665535,-0.3812199952761358,-0.7022939341381526,-0.00769902991630545,-0.04664016717325819,-0.1734298876130196,-0.38999602025741037,-0.004670224804132432,-1.2142238405361008e-05,-0.037230252027497655,0.0,0.3035888671875,0.45788287526975713,0.1143027063036552,-0.008267482650560093,-0.15432645668172304,-0.05084618580542159,0.0,1.5785884405042538,-1.0873192532731226,-0.011794207912098948,0.6568106138725913
81920,0.19999999999999282,0.7301217097473454,0.28194101133466754,-0.014082039262575563,-1.5588038352953362,-0.3023411817733077,-0.4056723525533248,-0.6903415795865198,-0.008453657968219647,-0.04641537475449841,-0.17183037250360952,-0.39337765379116024,-0.005408424405342055,-2.6858821360531502e-05,-0.03751906240639315,0.0,0.2947998046875,0.45876691467232206,0.11389169147573289,-0.007820826582180598,-0.1588815394404266,-0.05023345997251455,0.0,1.5532393235422643,-1.1000916778717118,-0.010771045115985131,0.6267505862925875
122880,0.19999999999999282,0.7215506618484192,0.29293985963809216,-0.01598633664980298,-1.434578098922941,-0.30592608470494254,-0.3854384120822801,-0.6746738506341553,-0.0065372850529670234,-0.04667615848147016,-0.1750660439443894,-0.39667259699008794,-0.004944106022503095,-7.625367654709624e-06,-0.03728997572632793,0.0,0.312744140625,0.4529006811416831,0.11210977971392648,-0.008915122597014923,-0.16022188798920228,-0.051516093441168705,0.0,1.6348436474985457,-1.0749560895655665,-0.010254885280601476,0.6499315067645197
163840,0.19999999999999282,0.80301023837689,0.2619631428956074,-0.011660164556815289,-1.6512314459334405,-0.30590179959465047,-0.37863808602800264,-0.6871352625850703,-0.0072826137845170965,-0.04653182907930097,-0.17331753448088394,-0.4038017248489404,-0.004077975465079089,-8.705861083141441e-06,-0.03748240112970043,0.0,0.3076171875,0.4584241764091262,0.11212299706627835,-0.00830280579772295,-0.1568103695483878,-0.0512461340602022,0.0,1.5949569234302643,-1.059255156791874,-0.009354023733326946,0.6981898097851199
204800,0.19999999999999282,0.700681368159102,0.29965206788178855,-0.02244141499977559,-1.440087545177505,-0.32090932075504597,-0.3365358540650888,-0.726647733370282,-0.006180566780158934,-0.04673004571743833,-0.17370290093895185,-0.40229947290128737,-0.0042946489995689925,-4.135505519625595e-06,-0.037583657785183626,-0.009821098799356696,0.2947998046875,0.44921763807305176,0.11572393712945946,-0.008044856576476581,-0.1498355906447541,-0.05089701612829231,0.0,1.6567366769578835,-1.0566178063299652,-0.011072210691236586,0.68715248807629
245760,0.19999999999999282,0.6602733249247138,0.2952603752977735,-0.016669930511852726,-1.7519913371709492,-0.30533611996471,-0.4039265894083885,-0.674674933686554,-0.00791338736142073,-0.0467074843683376,-0.173175654816441,-0.4048833792482818,-0.00407567805513487,-1.851402873285021e-05,-0.03751857027093881,0.0,0.29443359375,0.4621303184934069,0.11444908409327445,-0.008669583132870924,-0.1596650129474731,-0.05086778522585529,0.0,1.5955062335166743,-1.0824526886377286,-0.009963099370895017,0.6235373129490912
286720,0.19999999999999282,0.5794102154881131,0.2742788665366166,-0.017363289567583706,-1.5950313319442841,-0.30435075905052145,-0.3725301302779644,-0.6347096095299186,-0.006778355386330953,-0.04680540718851403,-0.17742358197137958,-0.39764029151893243,-0.004305160315194683,-5.120358221031693e-06,-0.0373094595524353,0.0,0.2860107421875,0.45898150449747915,0.11046299882576001,-0.009963135132429872,-0.15680450916971322,-0.05275734516675586,0.0,1.6422021319061677,-1.0816325789000436,-0.010458470555912664,0.5283588161664677
327680,0.19999999999999282,0.609251901398617,0.2845122382896928,-0.019453133099887054,-1.5675565428584264,-0.29494979148702294,-0.32526348490933066,-0.6768064608420807,-0.00533355785446743,-0.04654424124295709,-0.17470301546854908,-0.3992131909048083,-0.003255081481820806,-4.367011663948011e-06,-0.037186634842152136,0.0,0.29150390625,0.4582703796424931,0.10923933630489466,-0.009091911130916112,-0.1531239590587067,-0.051376482700434295,0.0,1.6880032049897837,-1.0340128223818776,-0.00988677996921459,0.5834788415017635
368640,0.19999999999999282,0.7240353537354559,0.30221036437965954,-0.01683594643691322,-1.5862972294501283,-0.30336362603588896,-0.35200306013974403,-0.6462334422198096,-0.0060507905027997995,-0.0466094640522716,-0.17858533846811075,-0.4045978725027578,-0.003986356666079371,-4.7918680852823745e-06,-0.03731324042417872,0.0,0.29296875,0.4520361163990927,0.10830911141729943,-0.00894569180704697,-0.15602408352443317,-0.052969904713973004,0.0,1.6524149141178701,-1.0009790235059801,-0.012725193147967174,0.6920009176264544
409600,0.19999999999999282,0.631467939040038,0.27581990468328516,-0.014101570806815289,-1.5687505936601553,-0.295848901223156,-0.3802985424919683,-0.6436431665433678,-0.007153927833611383,-0.04655614499011104,-0.17670440357178457,-0.40402563782571066,-0.005227482286335012,-8.951559692595593e-07,-0.03737018533901999,0.0,0.299560546875,0.4609160196983908,0.10751516517966969,-0.008648907591534482,-0.159742263959313,-0.052188490110420295,0.0,1.63130217982572,-1.0390724554637165,-0.014053826832362814,0.6236936163342643
