#{"t_start": 1775240036.3834953, "env_id": "None"}
r,l,t
0.0,17,0.858377
0.0,18,0.868735
0.0,19,0.881081
0.0,20,0.888953
0.0,24,0.931342
0.0,24,0.931427
0.0,25,0.942406
0.0,10,0.990171
0.0,8,1.012217
0.0,16,1.034822
0.0,38,1.080355
0.0,24,1.11286
0.0,10,1.144208
0.0,29,1.182028
0.0,19,1.190113
0.0,29,1.220137
0.0,13,1.238861
0.0,20,1.263552
0.0,10,1.280773
0.0,15,1.280806
0.0,18,1.288814
0.0,43,1.294977
0.0,9,1.344759
0.0,12,1.352083
0.0,11,1.374755
0.0,24,1.40328
0.0,23,1.43098
0.0,56,1.456784
0.0,16,1.481777
0.0,12,1.488307
0.0,56,1.49422
0.0,16,1.49425
0.0,22,1.508534
0.0,6,1.513699
0.0,15,1.51875
0.0,8,1.529038
0.0,8,1.558193
0.0,41,1.558223
0.0,12,1.562619
0.0,20,1.572104
0.0,11,1.582488
0.0,12,1.598572
0.0,8,1.598635
0.0,12,1.644749
0.0,7,1.664577
0.0,10,1.664661
0.0,25,1.738781
0.0,32,1.738848
0.0,15,1.765557
0.0,45,1.783054
0.0,11,1.795506
0.0,39,1.836123
0.0,13,1.842431
0.0,11,1.852354
0.0,31,1.856709
0.0,39,1.879091
0.0,45,1.882122
0.0,4,1.891155
0.0,12,1.89117
0.0,17,1.898159
0.0,19,1.912178
0.0,42,1.917463
0.0,24,1.937645
0.0,19,1.93766
0.0,12,1.939681
0.0,20,1.945331
0.0,29,1.956906
0.0,6,1.95692
0.0,19,1.956924
0.0,10,1.958427
0.0,9,1.975238
0.0,14,1.984171
0.0,18,1.992067
0.0,28,1.992081
0.0,69,1.993888
0.0,65,1.997381
0.0,35,2.003469
0.0,10,2.009547
0.0,29,2.023822
0.0,25,2.031657
0.0,19,2.034871
0.0,23,2.034893
0.0,31,2.038514
0.0,33,2.06371
0.0,62,2.109908
0.0,20,2.112366
0.0,15,2.119677
0.0,24,2.122266
0.0,24,2.125707
0.0,44,2.14481
0.0,10,2.155379
0.0,15,2.168339
0.0,42,2.172807
0.0,17,2.189191
0.0,20,2.195731
0.0,7,2.195755
0.0,20,2.211786
