step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_dof_vel,r_total
10000,0.5,0.955132328911147,0.28241278745378173,-0.006690006256103515,-0.19070390306831494,-0.10890417538182785,-0.14130668130230678,-0.13486657086358933,-0.004940859788771276,-0.024731862384093625,-0.05500744492102412,-0.5376915755127755,-0.00114790366194185,-1.0255696341584782e-05,-0.010216380403440129,-0.08731840010050178,0.2405625,0.3705915563184241,-0.18282725186538876,-0.003526474470653428,-0.21403072565166004,-0.01512352431140096,0.0,-0.24565609311180925,-0.08177794508727082,-0.0017296243559313906,-0.2625336634739723,0.6244070579917791
20000,0.5,0.9357997259282692,0.2803420043504627,-0.011907507071271538,-0.21518493083054863,-0.10780474720822328,-0.1294579522720021,-0.13223462404719744,-0.004504615874927029,-0.02465479074563954,-0.05503716544328255,-0.536715041801299,-0.0011457303320104302,-7.586679016550239e-06,-0.010140041908768898,-0.06330462577994705,0.2525625,0.3885829569253526,-0.1808954581106602,-0.003431558005947126,-0.21289731721684874,-0.015096566071406001,0.0,-0.23102038321298732,-0.08063471660868068,-0.0016557524626905145,-0.25929505895197646,0.6613378850706966
30000,0.5,0.9328222294920042,0.28170268446410124,-0.01140750660561025,-0.2064898514589709,-0.10615559549321445,-0.13637391108162067,-0.13224681652052542,-0.005069388097582223,-0.024708698558197465,-0.05458957301292571,-0.537808724178096,-0.0011219417826602179,-9.710906293172255e-06,-0.01018094796573462,-0.05193845766226638,0.25096875,0.38479595383199655,-0.1922650444799915,-0.0034388135990879843,-0.21186341679251333,-0.014985038790352638,0.0,-0.2560443974812059,-0.0801516418931264,-0.0016660715258558613,-0.26098612618811534,0.6324557356661116
40000,0.5,0.9706956779366877,0.2853566142957191,-0.011177507286891342,-0.18512324572934222,-0.10609840145757797,-0.13756172760395116,-0.13047451313228398,-0.004401251773012487,-0.024639807093966546,-0.054797985720690306,-0.5354031043989758,-0.0011523981652240044,-9.096939491984624e-06,-0.010129354975277014,-0.04814779931905785,0.2595,0.40056173418303714,-0.17081400529230234,-0.003492070841216448,-0.2122036300888847,-0.015046968730978667,0.0,-0.22867801777929245,-0.08076315009614217,-0.0018344155266064091,-0.2590995130304285,0.719809759901585
50000,0.5,0.8401967932823217,0.3014371931308547,-0.011580007338896393,-0.23795305545361486,-0.10369887585865994,-0.13703512576779606,-0.13073508343042686,-0.004211200877980551,-0.0244875403602143,-0.05452896651847288,-0.5345709369456974,-0.0010174713951917522,-1.0019092698879777e-05,-0.010052429691618263,-0.053413528215377655,0.24590625,0.39919772481399624,-0.1777505505668572,-0.0035905583552959934,-0.21234301146603632,-0.015018866767421361,0.0,-0.2221350128051193,-0.07847546823897494,-0.0018927199663248033,-0.2566026309625586,0.6132425580264169
60000,0.5,0.9384430562368068,0.29531019241355133,-0.01012500649690628,-0.21158829224097023,-0.10999885451467346,-0.13278191051169627,-0.1304279447652035,-0.004482275846814101,-0.024530391541707795,-0.0547664226697013,-0.5339407589889049,-0.0010030721702915116,-6.490305264922014e-06,-0.010096896747614865,-0.08252183053541025,0.25040625,0.39213679250526234,-0.18165454837196526,-0.0033842502238711236,-0.21077582836225198,-0.015057317560829212,0.0,-0.22992064123384565,-0.07908573768801899,-0.0017103241659932186,-0.25804453683046635,0.659381286485941
70000,0.5,0.9803296940834942,0.29807147317262817,-0.01126750692538917,-0.20617863501864725,-0.10535597596368795,-0.13033434519446588,-0.1298317062244605,-0.004924433435254187,-0.024548298506575104,-0.054989300402551906,-0.5376736794265565,-0.0010681998840938467,-1.0483044874053757e-05,-0.01008468917748788,-0.04794713912153532,0.265125,0.40329598164054603,-0.19669347094778322,-0.0035529905235691544,-0.20487409813359503,-0.015136981929078702,0.0,-0.25026412680181337,-0.07881421005567896,-0.0016581716221198612,-0.25764558012908695,0.7033988822709502
80000,0.5,0.9182711395430583,0.29433803645912504,-0.010510006744414569,-0.21569242359007867,-0.10543772072047664,-0.1341838637103329,-0.13011611279035787,-0.004081390177601316,-0.02470039740390986,-0.054983061215411924,-0.536547135675601,-0.0010641405150490406,-1.394466606757649e-05,-0.010165098729585228,-0.08786830760713657,0.24871875,0.3742056902124458,-0.17068946069256535,-0.0035226677646217337,-0.21067316833775038,-0.015062294059172277,0.0,-0.2152310769912951,-0.07997865582675208,-0.0018536601494798246,-0.2602276262155554,0.6499196072465234
90000,0.5,0.9165717527198171,0.2775707204505837,-0.009360007159411907,-0.21239779031850392,-0.10576347078502173,-0.13784197234008636,-0.13340373057399418,-0.004759079366943733,-0.0246046918724634,-0.0544258167945407,-0.5364033516263976,-0.0011565435445430653,-1.0435363095538561e-05,-0.010146853092238901,-0.07033305040826901,0.26465625,0.39728054462596984,-0.1844935996849592,-0.0034219321014426853,-0.21294706591922724,-0.014923647061094638,0.0,-0.2430732316974997,-0.08075458192646946,-0.0016390372774127996,-0.2597784346373998,0.6317544256237798
100000,0.5,0.9164502795309543,0.29462669316012013,-0.010007507042959333,-0.22118973496591843,-0.10454232359013313,-0.13894307126196437,-0.12632397163219986,-0.005557352718117162,-0.024463050915759444,-0.05481608936587347,-0.5325440193420045,-0.0011110444280483976,-4.791456637656841e-06,-0.010047850407598695,-0.05357386100775945,0.243375,0.3742438528880216,-0.21538874803971658,-0.0035345864332092213,-0.20662618340801606,-0.01517009402326495,0.0,-0.2772093365736791,-0.07915161547689785,-0.0015202855358427212,-0.25617315492062626,0.6132040507951049
