step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_dof_vel,r_total
10000,0.5,1.093119195833264,0.30203403922621946,-0.016636007286608242,-0.1892356780850731,-0.10843914351806382,-0.13624583582789263,-0.13678013826451468,-0.005613811550476854,-0.027905474307058316,-0.10353474886626012,-0.6296065111088353,-0.0013567374153108072,-1.720042742706543e-06,-0.011213918956416775,-0.049818746507765,0.2555249999999997,0.3935681015563206,-0.1791668805755972,-0.003374494511460443,-0.22070102061750113,-0.030392460892689217,0.0,-0.2802647205943294,-0.08138043933355157,-0.002255685535695976,-0.2783544432109711,0.6490596422250946
20000,0.5,1.0194034764604765,0.2872254424078969,-0.01285400674343109,-0.19267754887208205,-0.10516461206811967,-0.13440216376357517,-0.14295181298317267,-0.005914249697228715,-0.02797031229766819,-0.10353900954651836,-0.6363030264204635,-0.0015630888355796261,-2.260431894690379e-06,-0.011273346018688261,-0.08553052594574731,0.23475,0.3718165375215804,-0.18215095309276189,-0.003311850938557273,-0.22262883843350345,-0.030363015165871376,0.0,-0.29347414916226916,-0.08229207070545236,-0.002427389784285706,-0.2812993274719459,0.5369992579375814
30000,0.5,1.1334365138833329,0.29296202085139844,-0.011828007169067855,-0.16711592536815983,-0.10904044376529265,-0.14241206201621537,-0.1369352019076577,-0.005923688769265668,-0.027990442405712905,-0.10378890570142861,-0.6329187185852465,-0.0015403675194797268,-1.490738756380631e-06,-0.01127209657970283,-0.05675360872020708,0.24795000000000023,0.38021447622450966,-0.1749023939846574,-0.003350396580391275,-0.22264380092762248,-0.03053026989866493,0.0,-0.2922615810788753,-0.08352683857391412,-0.0026303893943331632,-0.2813293774400444,0.6686647191335118
40000,0.5,1.041820881610752,0.2853171793166646,-0.013358006981015203,-0.19624709538088628,-0.10834871694975005,-0.14765498397588367,-0.13811973837135247,-0.006477093401981205,-0.027972239859337743,-0.10403116592878107,-0.6322581253772903,-0.0015309955402376765,-4.096573350212979e-06,-0.011247365554462983,-0.05934197578818928,0.2559750000000002,0.39761529206542884,-0.1908670830426689,-0.0033589284801097984,-0.22740131260489038,-0.030578824372422674,0.0,-0.3131601772589554,-0.08168109388919857,-0.0025342301028929677,-0.2798403723116971,0.5735794353600163
50000,0.5,1.0403357078657496,0.2817416846224763,-0.013310006691515438,-0.19067387604296915,-0.10917971473953238,-0.13812743956152984,-0.1389500682274207,-0.0056078782371332715,-0.02802001582589998,-0.10343055170854931,-0.634366892091719,-0.0014575443002946852,-2.6912507071837994e-06,-0.01128357572316,-0.07791444084720381,0.245925,0.3753336407519785,-0.17040409297905706,-0.003473973631550755,-0.2214396932431093,-0.03031828942417504,0.0,-0.27848198382274714,-0.08189570744041129,-0.0026694415886786608,-0.28118546739248473,0.5802820573111027
60000,0.5,1.150222150418084,0.284548773458516,-0.011920006912946696,-0.17244162371926178,-0.10885992667338408,-0.14178676996863074,-0.14011503939493117,-0.006086590006570999,-0.028035372495749725,-0.10394987072020773,-0.6367492859552223,-0.0015732697653706336,-3.6911580418765047e-06,-0.011297903567283248,-0.08234287071870984,0.24750000000000003,0.38484757811624104,-0.17802834361447292,-0.00327994914657767,-0.22408075315911924,-0.030517812889194508,0.0,-0.296343211486808,-0.08270030136865725,-0.002554699350434779,-0.2820808046140729,0.6744908457840998
70000,0.5,1.055566627294288,0.29076553077783546,-0.014588007120788093,-0.18924373639458736,-0.10859648104908158,-0.1373636947033073,-0.14165542153134203,-0.005840235999443107,-0.028098618160256512,-0.10413280255526311,-0.6362245420234367,-0.0015052732473786296,-4.268505999887204e-06,-0.011306667744934794,-0.06218825847792561,0.2604000000000002,0.3923138419509223,-0.1763776150837177,-0.003490686097071332,-0.22004194428612328,-0.030534479432934525,0.0,-0.28771428023812934,-0.08288301391261607,-0.00249447593630854,-0.2817375069967874,0.6313963074378067
80000,0.5,0.9619990865589186,0.2899206990977044,-0.010994006691873079,-0.2038488484888765,-0.11086645256902515,-0.14133895163183688,-0.14266974352623926,-0.0056754538555156015,-0.027995138136010563,-0.10332055239567157,-0.6327172694102853,-0.001353606754184155,-1.2961617191410038e-06,-0.011244194147355665,-0.06911453912456932,0.2493750000000003,0.3848544806396014,-0.16531002330863573,-0.0031674895047014285,-0.22653475157265285,-0.03028228312692047,0.0,-0.27419592096719275,-0.08198624172934192,-0.0025405221031671887,-0.27993721226646073,0.5575905682812692
90000,0.5,1.020310969575511,0.2766634119843428,-0.012024006862938417,-0.17894949269875243,-0.10734837962887392,-0.14159491610452388,-0.13598649774302238,-0.005939230434544483,-0.027968890863381002,-0.10402060102039563,-0.63208612003568,-0.0015671225468663506,-2.882433046812992e-06,-0.011244640900124963,-0.062134181139948334,0.242475,0.39311775572685337,-0.1834989591626743,-0.0033069989863142068,-0.22548837236236072,-0.030455896012499914,0.0,-0.2895644881985402,-0.08259311039754472,-0.002810397652275319,-0.2796798342598712,0.576512753935326
100000,0.5,1.1202140612938354,0.2808989483583315,-0.013422006766498077,-0.17990442406732532,-0.10868817414811444,-0.13898129845860308,-0.13766477886887116,-0.005920151205285621,-0.02798951401721881,-0.10389264510110023,-0.6363784900039432,-0.0013474329520036664,-2.1090703894381645e-06,-0.011280163463123999,-0.053534107004230266,0.24749999999999994,0.37771976473250124,-0.18013127360516284,-0.0032755179507336462,-0.21757803237955578,-0.030515075758820773,0.0,-0.29508117213757734,-0.08100449552230576,-0.0025090746143001967,-0.280804903734242,0.6398661549034371
