step,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_orientation,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,survival_mult,r_total
10000,0.545082342691825,0.13672511512422636,0.8830770521277883,1.0024738339292871,-0.6161511408477541,0.04650822969169658,0.1578715578500914,-0.1418452745338004,-0.040842781071285514,-0.03775099416613582,-0.0007998953876638202,-0.06552821833546973,-0.16085368860433785,1.174858864940152,1.9914101535084656
20000,0.581762429832138,0.15035757221139504,0.9318489416496636,1.0522567784790975,-0.6638907560176868,0.0519486560914585,0.09753106968879988,-0.13780860267797476,-0.04089261994944869,-0.038083017358362704,-0.000654009519459875,-0.0728389221792263,-0.16146239431044423,1.1783690781003566,2.019981211049853
30000,0.6063596153815981,0.13940255722055284,0.9389098174663151,1.0314399176113935,-0.6133693881596161,0.05339319646172257,0.1363024001969286,-0.13957649837641556,-0.040793022908462234,-0.037852749896943594,-0.0006942520707748272,-0.07215428661838638,-0.16053729323283808,1.1792487280582205,2.155399697692068
40000,0.5676147944482972,0.13496270644379205,0.9182504666995022,1.1109989154227182,-0.581008283321796,0.04781110083705494,0.14447446564746708,-0.1429649657716671,-0.04095092889006929,-0.03869402088409661,-0.0008176147563897332,-0.06922084057083332,-0.16161053861800218,1.1785333649114873,2.2132763827704784
50000,0.5738548315038953,0.13502569129671513,0.8864821615501974,1.003733329618156,-0.6391594588480684,0.04196510922637537,0.19407683903089662,-0.13793174353812077,-0.04080520575951383,-0.03915863932859896,-0.0006395861750319971,-0.06880016108745894,-0.16045991751976246,1.184127084590395,2.0628935963623634
60000,0.5166852038960121,0.13694391602258696,0.8961702229358733,1.0352511683849157,-0.6232482405387925,0.048647291481474085,0.16111429854321244,-0.13934556222140873,-0.04082457106195275,-0.03866269809156655,-0.0006867793296971392,-0.07021556040259717,-0.16105920062408505,1.1745913671838084,2.006778140323412
70000,0.6001270007290402,0.13202716471887369,0.8381633730108831,1.0581954457817815,-0.6679338214725956,0.054597356186698864,0.16774164276850215,-0.13861432581106353,-0.040895589645346876,-0.03830239865696428,-0.0008065056116018336,-0.06844512536520313,-0.1603033527330518,1.1824493259160775,2.037309834901222
80000,0.5971757552789531,0.12802163004616254,0.8053098091990027,1.0535948735270606,-0.7936715027763972,0.058899709926106776,0.14561593189128955,-0.14477904712433698,-0.040868389447927034,-0.03962641838753225,-0.0007053372406940755,-0.07095387059490037,-0.16080828098878705,1.174521223736763,1.7763187170565768
90000,0.6189411223570254,0.13515122732932314,0.8834674816717897,1.009583569451099,-0.7179782894063783,0.05163649494904752,0.136348343606735,-0.13870092438406448,-0.040866625802980484,-0.03892531856328249,-0.0006635685931061367,-0.06799302994425828,-0.16137810007115513,1.1773835101534607,1.937718048960148
100000,0.5471875856365452,0.12773963162369012,0.8850383353117282,1.0091936133383381,-0.5681617504311436,0.04239174559587188,0.24270581096707894,-0.1408876787766705,-0.04088738845498994,-0.038915332444667855,-0.0006639661745935366,-0.05833498510417506,-0.16069362671428544,1.1817845422350517,2.1659444074101666
110000,0.4843592171313915,0.13398013722542537,0.9217129071506219,0.9865972366870474,-0.5885437711444694,0.04223595710912975,0.2020922028824676,-0.13583455336926453,-0.041088861762778865,-0.03839864941918852,-0.0007730216736652111,-0.07102585138987569,-0.16247958130337897,1.1870953710575405,2.025576874815707
120000,0.6739942416854044,0.13546182321658967,0.9132069656942817,1.0888230625582553,-0.6601765987257278,0.05098028841364462,0.14429318459849735,-0.13601661464362594,-0.04097818186256878,-0.03950541534721846,-0.0009109690745249348,-0.06763859205884964,-0.16146106017482187,1.1823699306970556,2.2309948669761726
130000,0.6018281627806488,0.13956218522589797,0.873597163338259,1.028705352435838,-0.6334145665543105,0.04881982404543336,0.19592392412903858,-0.13894770272680435,-0.040997727704244424,-0.03905449683332442,-0.0007611295721856088,-0.06643405938678916,-0.16054788821636248,1.1786012869821514,2.1151975344618146
140000,0.5693617487368952,0.1365367658649129,0.9077581617434434,0.9308654766455661,-0.7560190784142127,0.04857106534477713,0.13539126820184166,-0.1374001668647169,-0.04095830655815533,-0.03850176168936494,-0.0006596880686198369,-0.06973742831521162,-0.16122479285576305,1.1824163761914959,1.778988761192719
150000,0.5516750596677799,0.14220750230346377,0.8922766749975677,1.0373969018312927,-0.6195010876334521,0.04663719752731348,0.168554880663292,-0.14073757798339498,-0.04104111133941283,-0.038245359920859354,-0.0009261149439702829,-0.06758076250545776,-0.16151567077743495,1.177777856971029,2.0550591859211904
160000,0.6389484221193036,0.13784332854511322,0.9274775578125372,0.9452465097337444,-0.6525875588640404,0.04397205790385125,0.18396487691848334,-0.13895839701572676,-0.04076101086358566,-0.03825825971305365,-0.000594026381179295,-0.06595597081668038,-0.16033351617302244,1.1797233008216939,2.079043943978563
170000,0.654766387828355,0.13053397179999582,0.8580059253235081,1.1074933552481734,-0.6724823805123455,0.05483285228368308,0.1455208853818546,-0.13654652317981686,-0.04076081960080398,-0.03906871953678133,-0.0005984367543211813,-0.06970854192586629,-0.1603791570860152,1.1828036893777334,2.15501246655603
180000,0.5411516907727518,0.13494638230786932,0.9039543557437327,0.9845862543018552,-0.6378296128813628,0.04758360800915652,0.1652184197623416,-0.14101276621344505,-0.040858202597317185,-0.03811263567227123,-0.0007117143778640295,-0.0717797737057134,-0.1603150191646033,1.185005010263578,1.9801411261228454
190000,0.5104415146134633,0.1390450910406543,0.9509475697459521,0.9533246242902189,-0.569177986123938,0.03975836727751459,0.17589588425212385,-0.13370589397213556,-0.04103766822510799,-0.03757867143189901,-0.000778769652607743,-0.06907548067891876,-0.1610067711442178,1.1866570936226173,2.07014727726745
200000,0.5510847366666431,0.13261123965756516,0.9331305110528127,0.9749578603783063,-0.5509876505779118,0.04275619115935232,0.17664528535327328,-0.13090362644782358,-0.04093666456709043,-0.03760090696483851,-0.000634234115484205,-0.06873310598702405,-0.16098789005608483,1.200840303428505,2.1676847998124757
