step,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_alive,r_orientation,r_ang_vel_xy,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,r_total
10008,0.12621679691376422,0.03313737270367568,0.23914675058499862,0.49642002435680016,0.9924083011025454,0.12015376796457586,0.13246105153125284,0.5,-0.821881559173188,-3.7890374070496127,-0.08215623360786124,-0.020445255591086644,-0.0049532288485607924,-0.47431451059862384,-0.08626815540808612,-2.6391122851194027
20016,0.1434952700748512,0.03601609927594508,0.287807893011945,0.5204149514010067,0.9906876559952049,0.11346159682756914,0.09936746049725624,0.5,-0.8008552351070608,-3.8108446291742175,-0.08211720860225215,-0.020723817827627077,-0.005276303531868079,-0.4852723692393041,-0.08580633168777412,-2.599644968086322
30024,0.13742756619553315,0.037439440332231184,0.2711834800412652,0.5258271050432984,0.9418703584728706,0.11053312652082976,0.11949974207998439,0.5,-0.7774160818053902,-3.669516052633765,-0.08210983202162443,-0.020779994124248604,-0.004841863179496449,-0.47925424436483816,-0.08560712928073241,-2.47574437872408
40032,0.11907829194387863,0.03507969612507722,0.25364394401643536,0.5006591865772247,0.9825535627238488,0.11748468782120056,0.14376472160656698,0.5,-0.7900728664038237,-3.7201123784355965,-0.08235840737269419,-0.020914203646356877,-0.004392973791790519,-0.48868163010936677,-0.08648221950937753,-2.5407505884547703
50040,0.15468022805422976,0.03726111496430302,0.27095974895147323,0.46206968473833215,0.955419215504034,0.10839543461869006,0.13560293798782583,0.5,-0.7827160488192475,-3.7554342645347343,-0.0822342831321193,-0.02085881280541422,-0.004171997022702554,-0.4831725502742696,-0.086295730168219,-2.5904953219378144
60048,0.10874779607196272,0.035486176235605835,0.2635942350253182,0.4878253531261885,0.942670317383972,0.10662798715058719,0.1539428449651142,0.5,-0.7500128356821022,-3.6391046165826095,-0.08202219620455915,-0.020320546324613203,-0.004278943609670783,-0.4861141541590317,-0.0857530067230619,-2.4687115893268987
70056,0.12579950478239615,0.0349538580138841,0.25074622292409876,0.4978036864497924,0.9716779253489931,0.1137231578579542,0.15369919890219705,0.5,-0.7698196314187296,-3.810018580555096,-0.08207459515714181,-0.020988709207028135,-0.0048861477641137996,-0.46134500265736106,-0.08581411718516291,-2.58654322966532
80064,0.11074582739725257,0.03457158180686248,0.24598408684596465,0.4619084408499789,1.0331046439858378,0.12388217943204428,0.13885376038059502,0.5,-0.8119401999089861,-3.870189640828905,-0.08198426330421311,-0.020584142920002338,-0.005525499062127451,-0.4678116771925347,-0.08564493438176966,-2.6946298369000026
90072,0.12840477839990588,0.036276766776375036,0.27651161193613355,0.48472377802217304,0.9613872141227497,0.10845325076005097,0.1335537099937446,0.5,-0.845568158928436,-3.761281798475154,-0.08225848880846244,-0.02077373620734859,-0.004748548392585741,-0.487451385209089,-0.08665209956437346,-2.65942310557432
100080,0.09846076454894502,0.028580229937945005,0.2100704348367903,0.49285817989294484,0.9968935810906421,0.11955864937011051,0.1735225189951726,0.5,-0.8408982357394796,-3.947562775895869,-0.08227855131662117,-0.021044914994680627,-0.0051892435119471,-0.4562552473578971,-0.08671978299153865,-2.8200043931354806
